name,measured log(solubility:mol/L),SMILES,MolWt,HeavyAtomCount,RingCount,LogP,MaxPartialCharge,MinPartialCharge,NOCount
isoguanine,-3.401,Nc1nc(O)nc2nc[nH]c12 ,151.129,11.0,2.0,-0.3593,0.3175447569735516,-0.4789080952439534,6.0
Norea,-3.171,CN(C)C(=O)NC1CC2CC1C3CCCC23,222.332,16.0,3.0,2.0823,0.3165986401140032,-0.3349757048162642,3.0
"2,3-Dimethylnaphthalene",-4.72,Cc1cc2ccccc2cc1C,156.22799999999998,12.0,2.0,3.456640000000002,-0.0181207942337761,-0.0616295429115359,0.0
aminopyrine,-0.364,CN(C)c2c(C)n(C)n(c1ccccc1)c2=O ,231.299,17.0,2.0,1.55042,0.2947163868460535,-0.3716808321270943,4.0
Triphenylene,-6.726,c1ccc2c(c1)c3ccccc3c4ccccc24,228.294,18.0,4.0,5.146200000000003,-0.0098954643216273,-0.0616070588421638,0.0
Trimazosin,-3.638,COc2cc1c(N)nc(nc1c(OC)c2OC)N3CCN(CC3)C(=O)OCC(C)(C)O ,435.48100000000034,31.0,3.0,1.2672999999999996,0.4094824156708783,-0.492686985850443,11.0
Tricyclazole,-2.07,Cc2cccc3sc1nncn1c23 ,189.243,13.0,3.0,2.25242,0.2165520536258106,-0.2717743503212979,3.0
"1,1,1-Trichloroethane",-2.0,CC(Cl)(Cl)Cl,133.405,5.0,0.0,2.376500000000001,0.1873821853498865,-0.0840134511428574,0.0
5-Methyl-5-ethylbarbituric acid,-1.228,O=C1NC(=O)NC(=O)C1(C)CC,170.16799999999998,12.0,1.0,-0.2313000000000005,0.3276315763528534,-0.2768323225751187,5.0
Tetrabromomethane,-3.14,BrC(Br)(Br)Br,331.62699999999995,5.0,0.0,3.1773,0.1885328624252558,-0.0471332156063139,0.0
2-Methyl-2-hexanol,-1.08,CCCCC(C)(C)O,116.20399999999998,8.0,0.0,1.9475,0.0591321184633034,-0.3904719989420869,1.0
p-Chloronitrobenzene,-2.92,Clc1ccc(cc1)N(=O)=O,157.55599999999998,10.0,1.0,2.2482000000000006,0.2690274269930105,-0.2583096269394141,3.0
Benznidazole,-2.81,O=C(Cn1ccnc1N(=O)=O)NCc2ccccc2,260.253,19.0,2.0,1.1077,0.4345051939961885,-0.3898173565441232,7.0
2-Nonanol,-2.74,CCCCCCCC(C)O,144.258,10.0,0.0,2.727700000000002,0.0511666831346816,-0.3934192690333077,1.0
bromadiolone,-4.445,OC(CC(c1ccccc1)c3c(O)c2ccccc2oc3=O)c4ccc(cc4)c5ccc(Br)cc5 ,527.4140000000002,35.0,5.0,7.183700000000006,0.3433536751149287,-0.5065919856919875,4.0
1-Hexene-3-ol,-0.59,CCCC(O)C=C,100.161,7.0,0.0,1.3334,0.0717744186534131,-0.3890608211861144,1.0
Methyl pentanoate,-1.36,CCCC(=O)OCC,116.15999999999998,8.0,0.0,1.3496,0.3052568056177093,-0.4659693345182679,2.0
Isoprocarb,-2.863,CNC(=O)Oc1ccccc1C(C)C,193.246,14.0,1.0,2.528200000000001,0.4118483333592245,-0.4100580745786176,3.0
Eugenol,-1.56,COc1cc(CC=C)ccc1O,164.204,12.0,1.0,2.1293,0.1602603057731768,-0.5042546024667084,2.0
1-Octene ,-4.44,CCCCCCC=C,112.216,8.0,0.0,3.142800000000002,-0.0353412944885706,-0.1030829789362811,0.0
Methylcyclohexane ,-3.85,CC1CCCCC1,98.189,7.0,1.0,2.5866000000000007,-0.044280075595161,-0.0625097228447045,0.0
Fenpropathrin,-6.025,CC1(C)C(C(=O)OC(C#N)c2cccc(Oc3ccccc3)c2)C1(C)C,349.43000000000006,26.0,3.0,5.268980000000004,0.311226638439726,-0.457370815414609,4.0
2-Decanone,-3.3,CCCCCCCCC(=O)C,156.269,11.0,0.0,3.3260000000000023,0.1293399502822748,-0.300031023494696,1.0
"Atovaquone(0,430mg/ml) - neutral",-5.931,OC4=C(C1CCC(CC1)c2ccc(Cl)cc2)C(=O)c3ccccc3C4=O,366.84400000000016,26.0,4.0,5.505100000000005,0.2279831111883586,-0.5038123151280473,3.0
Butylbenzene,-4.06,CCCCc1ccccc1,134.22199999999998,10.0,1.0,3.029200000000001,-0.0278972951426049,-0.0653710717316953,0.0
Norethisterone,-4.57,CC34CCC1C(CCC2=CC(=O)CCC12O)C3CCC4(O)C#C,314.42500000000007,23.0,4.0,2.607400000000001,0.15537331842308,-0.385185454880821,3.0
m-Xylene ,-2.82,Cc1cccc(C)c1,106.168,8.0,1.0,2.30344,-0.0397646050489469,-0.0617408714267734,0.0
Cycloheptene,-3.18,C1CCC=CCC1,96.173,7.0,1.0,2.5067000000000004,-0.0350732821337047,-0.088539280662186,0.0
Eicosane,-8.172,CCCCCCCCCCCCCCCCCCCC,282.5559999999999,20.0,0.0,8.048000000000007,-0.0533059727891157,-0.0653823832227926,0.0
4-Methylbiphenyl,-4.62,Cc1ccc(cc1)c2ccccc2,168.239,13.0,2.0,3.662020000000002,-0.0183847463107198,-0.0622253948936311,0.0
dibutyl sebacate,-3.896,CCCCOC(=O)CCCCCCCCC(=O)OCCCC,314.46600000000007,22.0,0.0,4.7938000000000045,0.3052775141617927,-0.465675191765929,4.0
Anethole,-3.13,COc1ccc(C=CC)cc1,148.20499999999998,11.0,1.0,2.728300000000001,0.1184005895910664,-0.496767824217075,1.0
Cyclopentane ,-2.64,C1CCCC1,70.135,5.0,1.0,1.9505,-0.0533059727891157,-0.0533059727891157,0.0
Epitostanol,-5.41,CC45CCC2C(CCC3CC1SC1CC23C)C4CCC5O,306.51500000000004,21.0,5.0,4.483900000000005,0.0596192346993709,-0.3925514254232107,1.0
p-benzidine,-2.7,Nc1ccc(cc1)c2ccc(N)cc2,184.242,14.0,2.0,2.518,0.0313911459759601,-0.3987282565104882,2.0
Coumaphos,-5.382,CCOP(=S)(OCC)Oc2ccc1oc(=O)c(Cl)c(C)c1c2,362.7710000000001,22.0,2.0,4.431120000000004,0.3800448538037144,-0.4241016209566105,5.0
Corticosterone,-3.24,CC12CC(O)C3C(CCC4=CC(=O)CCC34C)C2CCC1C(=O)CO,346.46700000000016,25.0,4.0,2.666700000000002,0.161297577647385,-0.3927746595045805,4.0
Cycloheptane,-3.51,C1CCCCCC1,98.189,7.0,1.0,2.730700000000001,-0.0533059727891157,-0.0533059727891157,0.0
"2,4,5-PCB",-6.27,Clc1ccc(cc1)c2cc(Cl)ccc2Cl ,257.547,15.0,2.0,5.313800000000001,0.0484937945184033,-0.0843437391001621,0.0
Styrene,-2.82,C=Cc1ccccc1,104.15199999999996,8.0,1.0,2.3296,-0.0262557893778424,-0.0984700500401651,0.0
Buturon,-3.9,CC(C#C)N(C)C(=O)Nc1ccc(Cl)cc1,236.702,16.0,1.0,2.825400000000001,0.3220780411774611,-0.3140343474741313,3.0
Methyl butyl ether ,-0.99,CCCCOC,88.14999999999999,6.0,0.0,1.4329,0.0461661336935366,-0.3846903791196007,1.0
o-Chloroiodobenzene,-3.54,Clc1ccccc1I,238.455,8.0,1.0,2.9446000000000003,0.0538955276742132,-0.083185363588706,0.0
Sucrose,0.79,OCC2OC(OC1(CO)OC(CO)C(O)C1O)C(O)C(O)C2O ,342.297,23.0,2.0,-5.395599999999993,0.2235503336827939,-0.3935665149997882,11.0
"3,4-Dimethylphenol",-1.38,Cc1ccc(O)cc1C,122.167,9.0,1.0,2.00904,0.1153593664944788,-0.5079562241267914,1.0
Carbazole,-5.27,c1ccc2c(c1)[nH]c3ccccc32,167.21099999999998,13.0,3.0,3.3211000000000013,0.0464351877874698,-0.3545105382525832,1.0
"1,3-diethylthiourea",-1.46,CCNC(=S)NCC,132.232,8.0,0.0,0.4903,0.1657737990296266,-0.3630161780470559,2.0
1-Methylnaphthalene,-3.7,Cc1cccc2ccccc12,142.201,11.0,2.0,3.148220000000002,-0.0154735978452877,-0.0616293804300127,0.0
2-Ethyl-1-hexanol,-2.11,CCCCC(CC)CO,130.231,9.0,0.0,2.1951000000000005,0.0458662459549641,-0.3960883514176953,1.0
Thiamphenicol,-2.154,CS(=O)(=O)c1ccc(cc1)C(O)C(CO)NC(=O)C(Cl)Cl ,356.2270000000001,21.0,1.0,0.4043000000000002,0.2532010575770425,-0.3941232075525179,6.0
Methane,-0.9,C,16.043,1.0,0.0,0.6361,-0.0775578911930755,-0.0775578911930755,0.0
fensulfothion,-2.3,CCOP(=S)(OCC)Oc1ccc(cc1)S(C)=O ,308.36100000000005,18.0,1.0,3.1003000000000016,0.3800444839234029,-0.4241282066165725,4.0
Niridazole,-3.22,O=C1NCCN1c2ncc(s2)N(=O)=O,214.206,14.0,2.0,0.5808999999999999,0.3451880361200621,-0.3358323164446923,7.0
2-Methyltetrahydrofurane,0.11,CC1CCCO1,86.134,6.0,1.0,1.1853,0.0547390486879118,-0.3785074202433747,1.0
tetrachloroguaiacol,-4.02,COc1c(O)c(Cl)c(Cl)c(Cl)c1Cl ,261.919,13.0,1.0,4.014400000000001,0.1819034008052367,-0.5031513036231219,2.0
Methoprene,-5.19,COC(C)(C)CCCC(C)CC=CC(C)=CC(=O)OC(C)C,310.47800000000007,22.0,0.0,5.062000000000006,0.3307647129627407,-0.4598021323608296,3.0
Flucythrinate,-6.876,CC(C)C(C(=O)OC(C#N)c1cccc(Oc2ccccc2)c1)c3ccc(OC(F)F)cc3,451.4690000000001,33.0,3.0,6.627980000000005,0.3870319733021892,-0.4573708154145965,5.0
Phorate,-4.11,CCOP(=S)(OCC)SCSCC,260.386,13.0,0.0,3.727700000000003,0.2476278081185929,-0.3219490861050248,2.0
ethiofencarb,-2.09,CCSCc1ccccc1OC(=O)NC ,225.313,15.0,1.0,2.6579000000000006,0.4118486588610727,-0.4100361565009396,3.0
Diisopropyl ether ,-1.1,CC(C)OC(C)C,102.177,7.0,0.0,1.8198,0.0521856210381623,-0.3761436759458136,1.0
3-Methyl-3-heptanol,-1.6,CCCCC(C)(O)CC,130.23099999999997,9.0,0.0,2.3376,0.0616751782470794,-0.3901945219341787,1.0
o-Nitrotoluene,-2.33,Cc1ccccc1N(=O)=O,137.138,10.0,1.0,1.90322,0.271791321288604,-0.2583009410225935,3.0
"2,2',3,3',4,4'-PCB",-8.01,Clc1ccc(c(Cl)c1Cl)c2ccc(Cl)c(Cl)c2Cl ,360.88200000000006,18.0,2.0,7.274000000000001,0.0784320897629023,-0.0826547978125414,0.0
Propoxur,-2.05,CNC(=O)Oc1ccccc1OC(C)C,209.245,15.0,1.0,2.192,0.4119714855060775,-0.4870953014626587,4.0
simazine,-4.55,CCNc1nc(Cl)nc(NCC)n1 ,201.661,13.0,1.0,1.3885999999999998,0.2284470148718813,-0.3543182642119109,5.0
Lenacil,-4.594,O=c2[nH]c1CCCc1c(=O)n2C3CCCCC3,234.29899999999995,17.0,3.0,1.5305,0.3283181347642608,-0.310765242283761,4.0
norethindrone acetate,-4.8,CC(=O)OC3(CCC4C2CCC1=CC(=O)CCC1C2CCC34C)C#C,340.4630000000001,25.0,4.0,4.063300000000004,0.3036727418854079,-0.4454224298204189,3.0
5-fluorouracil,-1.077,Fc1c[nH]c(=O)[nH]c1=O ,130.078,9.0,1.0,-0.7977000000000001,0.3253471361874118,-0.3111557027192775,4.0
chloroacetamide,-0.02,NC(=O)CCl ,93.513,5.0,0.0,-0.2895000000000001,0.2318448802577767,-0.3686410268217003,2.0
Dicapthon,-4.31,COP(=S)(OC)Oc1ccc(cc1Cl)N(=O)=O,297.656,17.0,1.0,3.144300000000002,0.3795708528013098,-0.4225301104296931,6.0
"1,4-Dinitrobenzene",-3.39,O=N(=O)c1ccc(cc1)N(=O)=O,168.10799999999995,12.0,1.0,1.503,0.269429190579248,-0.258309581839723,6.0
Trichloroacetonitrile,-2.168,ClC(Cl)(Cl)C#N,144.388,6.0,0.0,1.88018,0.2771407646015829,-0.1935300958357142,1.0
Furane,-0.82,c1ccoc1,68.07499999999999,5.0,1.0,1.2795999999999998,0.0902023545085363,-0.4726377692765222,1.0
Isoproturon,-3.536,CC(C)c1ccc(NC(=O)N(C)C)cc1,206.289,15.0,1.0,2.903500000000001,0.3208166400231532,-0.3306530434691106,3.0
Diethyldisulfide,-2.42,CCSSCC,122.258,6.0,0.0,2.4076000000000004,0.0008442873107774,-0.0944589121537203,0.0
"2,2',3,4,5,5'-PCB",-7.68,Clc1ccc(Cl)c(c1)c2cc(Cl)c(Cl)c(Cl)c2Cl,360.88200000000006,18.0,2.0,7.274000000000001,0.0799571181373213,-0.0843195950341475,0.0
O-Ethyl carbamate,0.85,CCOC(=O)N,89.09400000000001,6.0,0.0,0.1016000000000001,0.4039758342451567,-0.4500081277705684,3.0
aldosterone,-3.85,CC13CCC(=O)C=C1CCC4C2CCC(C(=O)CO)C2(CC(O)C34)C=O ,360.4500000000001,26.0,4.0,1.8457,0.1617436648327773,-0.3927603628226653,5.0
"2,4,6-Trichlorophenol",-2.34,Oc1c(Cl)cc(Cl)cc1Cl,197.448,10.0,1.0,3.3523999999999994,0.1523601196325953,-0.5048259317440998,1.0
Griseofulvin,-3.246,COC1=CC(=O)CC(C)C13Oc2c(Cl)c(OC)cc(OC)c2C3=O,352.7700000000001,24.0,3.0,2.8103000000000007,0.2307250674399266,-0.4961675184474632,6.0
p-Hydroxyacetanilide,-1.03,CC(=O)Nc1ccc(O)cc1,151.165,11.0,1.0,1.3505999999999998,0.2207474363124258,-0.5079643157925783,3.0
RTI 20,-4.799,C2c1ccccc1N(CCF)C(=O)c3ccccc23 ,255.292,19.0,3.0,3.2071000000000023,0.2581560293200126,-0.3054455695779158,2.0
Pentachlorobenzene,-5.65,Clc1cc(Cl)c(Cl)c(Cl)c1Cl,250.339,11.0,1.0,4.9536,0.0808451022767468,-0.0825977974143921,0.0
meconin,-1.899,c1c(OC)c(OC)C2C(=O)OCC2c1,196.202,14.0,2.0,0.8497999999999999,0.3170484934359716,-0.4962875384084619,4.0
Tetrafluthrin,-7.321,Cc1c(F)c(F)c(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)c(F)c1F,418.7360000000001,27.0,2.0,5.551820000000002,0.4261222976919941,-0.4603354473841956,2.0
Methocarbamol,-0.985,COc1ccccc1OCC(O)COC(N)=O,241.243,17.0,1.0,0.5302000000000002,0.4040837092881074,-0.4928700096660112,6.0
2-Ethyl pyridine,0.51,CCc1ccccn1,107.15599999999998,8.0,1.0,1.644,0.040036012933263,-0.2613274260157389,1.0
"2,2',6,6'-PCB",-7.39,Clc1cccc(Cl)c1c2c(Cl)cccc2Cl ,291.992,16.0,2.0,5.967200000000002,0.0499965795712743,-0.0836059346624793,0.0
3-Methylbutan-1-ol,-0.51,CC(C)CCO,88.14999999999999,6.0,0.0,1.0248,0.0432963113978193,-0.3963660786745106,1.0
"N,N-Diethylaniline",-3.03,CCN(CC)c1ccccc1,149.237,11.0,1.0,2.532800000000001,0.0365482771618969,-0.3720922269386495,1.0
fluconazole,-1.8,OC(Cn1cncn1)(Cn2cncn2)c3ccc(F)cc3F ,306.276,22.0,3.0,0.7357999999999993,0.1372548563620827,-0.3811379843627641,7.0
"2,6-PCB",-5.21,Clc1cccc(Cl)c1c2ccccc2 ,223.102,14.0,2.0,4.660400000000003,0.0498886515616238,-0.0836077815057197,0.0
1-Bromo-2-methylpropane,-2.43,CC(C)CBr,137.01999999999998,5.0,0.0,2.0373,0.0054361096637517,-0.092528358972014,0.0
"1,2,4,5-Tetramethylbenzene",-4.59,Cc1cc(C)c(C)cc1C,134.22199999999998,10.0,1.0,2.9202800000000018,-0.0395012279416203,-0.0558560203659383,0.0
dexamethasone acetate,-4.9,CC4CC3C2CCC1=CC(=O)C=CC1(C)C2(F)C(O)CC3(C)C4(O)C(=O)COC(C)=O ,434.5040000000003,31.0,4.0,2.466500000000001,0.3025656741265529,-0.45774170080124,6.0
"1,4-Cyclohexadiene",-2.06,C1C=CCC=C1,80.12999999999998,6.0,1.0,1.8926,-0.0168960676851488,-0.0844406837535908,0.0
Dialifor,-6.34,CCOP(=S)(OCC)SC(CCl)N1C(=O)c2ccccc2C1=O,393.85400000000016,23.0,2.0,3.878200000000003,0.2620782456005316,-0.3219183835718298,5.0
Octane,-5.24,CCCCCCCC,114.232,8.0,0.0,3.3668000000000022,-0.0533162045438967,-0.0653823832228023,0.0
