Descriptor name,Description
SMR_VSA5,MOE MR VSA Descriptor 5 ( 2.45 <= x <  2.75)
SMR_VSA6,MOE MR VSA Descriptor 6 ( 2.75 <= x <  3.05)
SMR_VSA7,MOE MR VSA Descriptor 7 ( 3.05 <= x <  3.63)
SMR_VSA8,MOE MR VSA Descriptor 8 ( 3.63 <= x <  3.80)
SMR_VSA9,MOE MR VSA Descriptor 9 ( 3.80 <= x <  4.00)
SlogP_VSA1,MOE logP VSA Descriptor 1 (-inf < x < -0.40)
SlogP_VSA10,MOE logP VSA Descriptor 10 ( 0.40 <= x <  0.50)
SlogP_VSA11,MOE logP VSA Descriptor 11 ( 0.50 <= x <  0.60)
SlogP_VSA12,MOE logP VSA Descriptor 12 ( 0.60 <= x < inf)
SlogP_VSA2,MOE logP VSA Descriptor 2 (-0.40 <= x < -0.20)
SlogP_VSA3,MOE logP VSA Descriptor 3 (-0.20 <= x <  0.00)
SlogP_VSA4,MOE logP VSA Descriptor 4 ( 0.00 <= x <  0.10)
SlogP_VSA5,MOE logP VSA Descriptor 5 ( 0.10 <= x <  0.15)
SlogP_VSA6,MOE logP VSA Descriptor 6 ( 0.15 <= x <  0.20)
SlogP_VSA7,MOE logP VSA Descriptor 7 ( 0.20 <= x <  0.25)
SlogP_VSA8,MOE logP VSA Descriptor 8 ( 0.25 <= x <  0.30)
SlogP_VSA9,MOE logP VSA Descriptor 9 ( 0.30 <= x <  0.40)
TPSA,Topological polar surface area (reference https://pubs.acs.org/doi/abs/10.1021/jm000942e). RDKit's implementation differs from what is described in the publication (see the RDKit book).
EState_VSA1,EState VSA Descriptor 1 (-inf < x <  -0.39)
EState_VSA10,EState VSA Descriptor 10 ( 9.17 <= x <  15.00)
EState_VSA11,EState VSA Descriptor 11 ( 15.00 <= x < inf)
EState_VSA2,EState VSA Descriptor 2 ( -0.39 <= x <  0.29)
EState_VSA3,EState VSA Descriptor 3 ( 0.29 <= x <  0.72)
EState_VSA4,EState VSA Descriptor 4 ( 0.72 <= x <  1.17)
EState_VSA5,EState VSA Descriptor 5 ( 1.17 <= x <  1.54)
EState_VSA6,EState VSA Descriptor 6 ( 1.54 <= x <  1.81)
EState_VSA7,EState VSA Descriptor 7 ( 1.81 <= x <  2.05)
EState_VSA8,EState VSA Descriptor 8 ( 2.05 <= x <  4.69)
EState_VSA9,EState VSA Descriptor 9 ( 4.69 <= x <  9.17)
VSA_EState1,VSA EState Descriptor 1 (-inf < x <  4.78)
VSA_EState10,VSA EState Descriptor 10 ( 11.00 <= x < inf)
VSA_EState2,VSA EState Descriptor 2 ( 4.78 <= x <  5.00)
VSA_EState3,VSA EState Descriptor 3 ( 5.00 <= x <  5.41)
VSA_EState4,VSA EState Descriptor 4 ( 5.41 <= x <  5.74)
VSA_EState5,VSA EState Descriptor 5 ( 5.74 <= x <  6.00)
VSA_EState6,VSA EState Descriptor 6 ( 6.00 <= x <  6.07)
VSA_EState7,VSA EState Descriptor 7 ( 6.07 <= x <  6.45)
VSA_EState8,VSA EState Descriptor 8 ( 6.45 <= x <  7.00)
VSA_EState9,VSA EState Descriptor 9 ( 7.00 <= x <  11.00)
FractionCSP3,Returns the fraction of C atoms that are SP3 hybridized
HeavyAtomCount,Number of heavy atoms a molecule
NHOHCount,Number of NHs or OHs
NOCount,Number of Nitrogens and Oxygens
NumAliphaticCarbocycles,Returns the number of aliphatic (containing at least one non-aromatic bond) carbocycles for a molecule
NumAliphaticHeterocycles,Returns the number of aliphatic (containing at least one non-aromatic bond) heterocycles for a molecule
NumAliphaticRings,Returns the number of aliphatic (containing at least one non-aromatic bond) rings for a molecule
NumAromaticCarbocycles,Returns the number of aromatic carbocycles for a molecule
NumAromaticHeterocycles,Returns the number of aromatic heterocycles for a molecule
NumAromaticRings,Returns the number of aromatic rings for a molecule
NumHAcceptors,Number of Hydrogen Bond Acceptors
NumHDonors,Number of Hydrogen Bond Donors
NumHeteroatoms,Number of Heteroatoms
NumRotatableBonds,Number of Rotatable Bonds
NumSaturatedCarbocycles,Returns the number of saturated carbocycles for a molecule
NumSaturatedHeterocycles,Returns the number of saturated heterocycles for a molecule
NumSaturatedRings,Returns the number of saturated rings for a molecule
RingCount,Returns the number of rings for a molecule
MolLogP,Wildman-Crippen LogP value. Uses an atom-based scheme based on the values in the paper: https://doi.org/10.1021/ci990307l)
MolMR,Wildman-Crippen MR value. Uses an atom-based scheme based on the values in the paper: https://doi.org/10.1021/ci990307l
fr_Al_COO,Number of aliphatic carboxylic acids
fr_Al_OH,Number of aliphatic hydroxyl groups
fr_Al_OH_noTert,Number of aliphatic hydroxyl groups excluding tert-OH
fr_ArN,Number of N functional groups attached to aromatics
fr_Ar_COO,Number of Aromatic carboxylic acide
fr_Ar_N,Number of aromatic nitrogens
fr_Ar_NH,Number of aromatic amines
fr_Ar_OH,Number of aromatic hydroxyl groups
fr_COO,Number of carboxylic acids
fr_COO2,Number of carboxylic acids
fr_C_O,Number of carbonyl O
fr_C_O_noCOO,"Number of carbonyl O, excluding COOH"
fr_C_S,Number of thiocarbonyl
fr_HOCCN,Number of C(OH)CCN-Ctert-alkyl or  C(OH)CCNcyclic
fr_Imine,Number of Imines
fr_NH0,Number of Tertiary amines
fr_NH1,Number of Secondary amines
fr_NH2,Number of Primary amines
fr_N_O,Number of hydroxylamine groups
fr_Ndealkylation1,Number of XCCNR groups
fr_Ndealkylation2,"Number of tert-alicyclic amines (no heteroatoms, not quinine-like bridged N)"
fr_Nhpyrrole,Number of H-pyrrole nitrogens
fr_SH,Number of thiol groups
fr_aldehyde,Number of aldehydes
fr_alkyl_carbamate,Number of alkyl carbamates (subject to hydrolysis)
fr_alkyl_halide,Number of alkyl halides
fr_allylic_oxid,Number of allylic oxidation sites excluding steroid dienone
fr_amide,Number of amides
fr_amidine,Number of amidine groups
fr_aniline,Number of anilines
fr_aryl_methyl,Number of aryl methyl sites for hydroxylation
fr_azide,Number of azide groups
fr_azo,Number of azo groups
fr_barbitur,Number of barbiturate groups
fr_benzene,Number of benzene rings
fr_benzodiazepine,Number of benzodiazepines with no additional fused rings
fr_bicyclic,Bicyclic
fr_diazo,Number of diazo groups
fr_dihydropyridine,Number of dihydropyridines
fr_epoxide,Number of epoxide rings
fr_ester,Number of esters
fr_ether,Number of ether oxygens (including phenoxy)
fr_furan,Number of furan rings
fr_guanido,Number of guanidine groups
fr_halogen,Number of halogens
fr_hdrzine,Number of hydrazine groups
fr_hdrzone,Number of hydrazone groups
fr_imidazole,Number of imidazole rings
fr_imide,Number of imide groups
fr_isocyan,Number of isocyanates
fr_isothiocyan,Number of isothiocyanates
fr_ketone,Number of ketones
fr_ketone_Topliss,"Number of ketones excluding diaryl, a,b-unsat. dienones, heteroatom on Calpha"
fr_lactam,Number of beta lactams
fr_lactone,Number of cyclic esters (lactones)
fr_methoxy,Number of methoxy groups -OCH3
fr_morpholine,Number of morpholine rings
fr_nitrile,Number of nitriles
fr_nitro,Number of nitro groups
fr_nitro_arom,Number of nitro benzene ring substituents
fr_nitro_arom_nonortho,Number of non-ortho nitro benzene ring substituents
fr_nitroso,"Number of nitroso groups, excluding NO2"
fr_oxazole,Number of oxazole rings
fr_oxime,Number of oxime groups
fr_para_hydroxylation,Number of para-hydroxylation sites
fr_phenol,Number of phenols
fr_phenol_noOrthoHbond,Number of phenolic OH excluding ortho intramolecular Hbond substituents
fr_phos_acid,Number of phosphoric acid groups
fr_phos_ester,Number of phosphoric ester groups
fr_piperdine,Number of piperdine rings
fr_piperzine,Number of piperzine rings
fr_priamide,Number of primary amides
fr_prisulfonamd,Number of primary sulfonamides
fr_pyridine,Number of pyridine rings
fr_quatN,Number of quarternary nitrogens
fr_sulfide,Number of thioether
fr_sulfonamd,Number of sulfonamides
fr_sulfone,Number of sulfone groups
fr_term_acetylene,Number of terminal acetylenes
fr_tetrazole,Number of tetrazole rings
fr_thiazole,Number of thiazole rings
fr_thiocyan,Number of thiocyanates
fr_thiophene,Number of thiophene rings
fr_unbrch_alkane,Number of unbranched alkanes  of at least 4 members (excludes halogenated alkanes)
fr_urea,Number of urea groups
ABC,atom-bond connectivity index
ABCGG,Graovac-Ghorbani atom-bond connectivity index
nAcid,acidic group count
nBase,basic group count
SpAbs_A,SpAbs of adjacency matrix
SpMax_A,SpMax of adjacency matrix
SpDiam_A,SpDiam of adjacency matrix
SpAD_A,SpAD of adjacency matrix
SpMAD_A,SpMAD of adjacency matrix
LogEE_A,LogEE of adjacency matrix
VE1_A,VE1 of adjacency matrix
VE2_A,VE2 of adjacency matrix
VE3_A,VE3 of adjacency matrix
VR1_A,VR1 of adjacency matrix
VR2_A,VR2 of adjacency matrix
VR3_A,VR3 of adjacency matrix
nAromAtom,aromatic atoms count
nAromBond,aromatic bonds count
nAtom,number of all atoms
nHeavyAtom,number of heavy atoms
nSpiro,number of spiro atoms
nBridgehead,number of bridgehead atoms
nHetero,number of hetero atoms
nH,number of H atoms
nB,number of B atoms
nC,number of C atoms
nN,number of N atoms
nO,number of O atoms
nS,number of S atoms
nP,number of P atoms
nF,number of F atoms
nCl,number of Cl atoms
nBr,number of Br atoms
nI,number of I atoms
nX,number of halogen atoms
ATS0dv,moreau-broto autocorrelation of lag 0 weighted by valence electrons
ATS1dv,moreau-broto autocorrelation of lag 1 weighted by valence electrons
ATS2dv,moreau-broto autocorrelation of lag 2 weighted by valence electrons
ATS3dv,moreau-broto autocorrelation of lag 3 weighted by valence electrons
ATS4dv,moreau-broto autocorrelation of lag 4 weighted by valence electrons
ATS5dv,moreau-broto autocorrelation of lag 5 weighted by valence electrons
ATS6dv,moreau-broto autocorrelation of lag 6 weighted by valence electrons
ATS7dv,moreau-broto autocorrelation of lag 7 weighted by valence electrons
ATS8dv,moreau-broto autocorrelation of lag 8 weighted by valence electrons
ATS0d,moreau-broto autocorrelation of lag 0 weighted by sigma electrons
ATS1d,moreau-broto autocorrelation of lag 1 weighted by sigma electrons
ATS2d,moreau-broto autocorrelation of lag 2 weighted by sigma electrons
ATS3d,moreau-broto autocorrelation of lag 3 weighted by sigma electrons
ATS4d,moreau-broto autocorrelation of lag 4 weighted by sigma electrons
ATS5d,moreau-broto autocorrelation of lag 5 weighted by sigma electrons
ATS6d,moreau-broto autocorrelation of lag 6 weighted by sigma electrons
ATS7d,moreau-broto autocorrelation of lag 7 weighted by sigma electrons
ATS8d,moreau-broto autocorrelation of lag 8 weighted by sigma electrons
ATS0s,moreau-broto autocorrelation of lag 0 weighted by intrinsic state
ATS1s,moreau-broto autocorrelation of lag 1 weighted by intrinsic state
ATS2s,moreau-broto autocorrelation of lag 2 weighted by intrinsic state
ATS3s,moreau-broto autocorrelation of lag 3 weighted by intrinsic state
ATS4s,moreau-broto autocorrelation of lag 4 weighted by intrinsic state
ATS5s,moreau-broto autocorrelation of lag 5 weighted by intrinsic state
ATS6s,moreau-broto autocorrelation of lag 6 weighted by intrinsic state
ATS7s,moreau-broto autocorrelation of lag 7 weighted by intrinsic state
ATS8s,moreau-broto autocorrelation of lag 8 weighted by intrinsic state
ATS0Z,moreau-broto autocorrelation of lag 0 weighted by atomic number
ATS1Z,moreau-broto autocorrelation of lag 1 weighted by atomic number
ATS2Z,moreau-broto autocorrelation of lag 2 weighted by atomic number
ATS3Z,moreau-broto autocorrelation of lag 3 weighted by atomic number
ATS4Z,moreau-broto autocorrelation of lag 4 weighted by atomic number
ATS5Z,moreau-broto autocorrelation of lag 5 weighted by atomic number
ATS6Z,moreau-broto autocorrelation of lag 6 weighted by atomic number
ATS7Z,moreau-broto autocorrelation of lag 7 weighted by atomic number
ATS8Z,moreau-broto autocorrelation of lag 8 weighted by atomic number
ATS0m,moreau-broto autocorrelation of lag 0 weighted by mass
ATS1m,moreau-broto autocorrelation of lag 1 weighted by mass
ATS2m,moreau-broto autocorrelation of lag 2 weighted by mass
ATS3m,moreau-broto autocorrelation of lag 3 weighted by mass
ATS4m,moreau-broto autocorrelation of lag 4 weighted by mass
ATS5m,moreau-broto autocorrelation of lag 5 weighted by mass
ATS6m,moreau-broto autocorrelation of lag 6 weighted by mass
ATS7m,moreau-broto autocorrelation of lag 7 weighted by mass
ATS8m,moreau-broto autocorrelation of lag 8 weighted by mass
ATS0v,moreau-broto autocorrelation of lag 0 weighted by vdw volume
ATS1v,moreau-broto autocorrelation of lag 1 weighted by vdw volume
ATS2v,moreau-broto autocorrelation of lag 2 weighted by vdw volume
ATS3v,moreau-broto autocorrelation of lag 3 weighted by vdw volume
ATS4v,moreau-broto autocorrelation of lag 4 weighted by vdw volume
ATS5v,moreau-broto autocorrelation of lag 5 weighted by vdw volume
ATS6v,moreau-broto autocorrelation of lag 6 weighted by vdw volume
ATS7v,moreau-broto autocorrelation of lag 7 weighted by vdw volume
ATS8v,moreau-broto autocorrelation of lag 8 weighted by vdw volume
ATS0se,moreau-broto autocorrelation of lag 0 weighted by sanderson EN
ATS1se,moreau-broto autocorrelation of lag 1 weighted by sanderson EN
ATS2se,moreau-broto autocorrelation of lag 2 weighted by sanderson EN
ATS3se,moreau-broto autocorrelation of lag 3 weighted by sanderson EN
ATS4se,moreau-broto autocorrelation of lag 4 weighted by sanderson EN
ATS5se,moreau-broto autocorrelation of lag 5 weighted by sanderson EN
ATS6se,moreau-broto autocorrelation of lag 6 weighted by sanderson EN
ATS7se,moreau-broto autocorrelation of lag 7 weighted by sanderson EN
ATS8se,moreau-broto autocorrelation of lag 8 weighted by sanderson EN
ATS0pe,moreau-broto autocorrelation of lag 0 weighted by pauling EN
ATS1pe,moreau-broto autocorrelation of lag 1 weighted by pauling EN
ATS2pe,moreau-broto autocorrelation of lag 2 weighted by pauling EN
ATS3pe,moreau-broto autocorrelation of lag 3 weighted by pauling EN
ATS4pe,moreau-broto autocorrelation of lag 4 weighted by pauling EN
ATS5pe,moreau-broto autocorrelation of lag 5 weighted by pauling EN
ATS6pe,moreau-broto autocorrelation of lag 6 weighted by pauling EN
ATS7pe,moreau-broto autocorrelation of lag 7 weighted by pauling EN
ATS8pe,moreau-broto autocorrelation of lag 8 weighted by pauling EN
ATS0are,moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
ATS1are,moreau-broto autocorrelation of lag 1 weighted by allred-rocow EN
ATS2are,moreau-broto autocorrelation of lag 2 weighted by allred-rocow EN
ATS3are,moreau-broto autocorrelation of lag 3 weighted by allred-rocow EN
ATS4are,moreau-broto autocorrelation of lag 4 weighted by allred-rocow EN
ATS5are,moreau-broto autocorrelation of lag 5 weighted by allred-rocow EN
ATS6are,moreau-broto autocorrelation of lag 6 weighted by allred-rocow EN
ATS7are,moreau-broto autocorrelation of lag 7 weighted by allred-rocow EN
ATS8are,moreau-broto autocorrelation of lag 8 weighted by allred-rocow EN
ATS0p,moreau-broto autocorrelation of lag 0 weighted by polarizability
ATS1p,moreau-broto autocorrelation of lag 1 weighted by polarizability
ATS2p,moreau-broto autocorrelation of lag 2 weighted by polarizability
ATS3p,moreau-broto autocorrelation of lag 3 weighted by polarizability
ATS4p,moreau-broto autocorrelation of lag 4 weighted by polarizability
ATS5p,moreau-broto autocorrelation of lag 5 weighted by polarizability
ATS6p,moreau-broto autocorrelation of lag 6 weighted by polarizability
ATS7p,moreau-broto autocorrelation of lag 7 weighted by polarizability
ATS8p,moreau-broto autocorrelation of lag 8 weighted by polarizability
ATS0i,moreau-broto autocorrelation of lag 0 weighted by ionization potential
ATS1i,moreau-broto autocorrelation of lag 1 weighted by ionization potential
ATS2i,moreau-broto autocorrelation of lag 2 weighted by ionization potential
ATS3i,moreau-broto autocorrelation of lag 3 weighted by ionization potential
ATS4i,moreau-broto autocorrelation of lag 4 weighted by ionization potential
ATS5i,moreau-broto autocorrelation of lag 5 weighted by ionization potential
ATS6i,moreau-broto autocorrelation of lag 6 weighted by ionization potential
ATS7i,moreau-broto autocorrelation of lag 7 weighted by ionization potential
ATS8i,moreau-broto autocorrelation of lag 8 weighted by ionization potential
AATS0dv,averaged moreau-broto autocorrelation of lag 0 weighted by valence electrons
AATS1dv,averaged moreau-broto autocorrelation of lag 1 weighted by valence electrons
AATS2dv,averaged moreau-broto autocorrelation of lag 2 weighted by valence electrons
AATS3dv,averaged moreau-broto autocorrelation of lag 3 weighted by valence electrons
AATS4dv,averaged moreau-broto autocorrelation of lag 4 weighted by valence electrons
AATS5dv,averaged moreau-broto autocorrelation of lag 5 weighted by valence electrons
AATS6dv,averaged moreau-broto autocorrelation of lag 6 weighted by valence electrons
AATS7dv,averaged moreau-broto autocorrelation of lag 7 weighted by valence electrons
AATS8dv,averaged moreau-broto autocorrelation of lag 8 weighted by valence electrons
AATS0d,averaged moreau-broto autocorrelation of lag 0 weighted by sigma electrons
AATS1d,averaged moreau-broto autocorrelation of lag 1 weighted by sigma electrons
AATS2d,averaged moreau-broto autocorrelation of lag 2 weighted by sigma electrons
AATS3d,averaged moreau-broto autocorrelation of lag 3 weighted by sigma electrons
AATS4d,averaged moreau-broto autocorrelation of lag 4 weighted by sigma electrons
AATS5d,averaged moreau-broto autocorrelation of lag 5 weighted by sigma electrons
AATS6d,averaged moreau-broto autocorrelation of lag 6 weighted by sigma electrons
AATS7d,averaged moreau-broto autocorrelation of lag 7 weighted by sigma electrons
AATS8d,averaged moreau-broto autocorrelation of lag 8 weighted by sigma electrons
AATS0s,averaged moreau-broto autocorrelation of lag 0 weighted by intrinsic state
AATS1s,averaged moreau-broto autocorrelation of lag 1 weighted by intrinsic state
AATS2s,averaged moreau-broto autocorrelation of lag 2 weighted by intrinsic state
AATS3s,averaged moreau-broto autocorrelation of lag 3 weighted by intrinsic state
AATS4s,averaged moreau-broto autocorrelation of lag 4 weighted by intrinsic state
AATS5s,averaged moreau-broto autocorrelation of lag 5 weighted by intrinsic state
AATS6s,averaged moreau-broto autocorrelation of lag 6 weighted by intrinsic state
AATS7s,averaged moreau-broto autocorrelation of lag 7 weighted by intrinsic state
AATS8s,averaged moreau-broto autocorrelation of lag 8 weighted by intrinsic state
AATS0Z,averaged moreau-broto autocorrelation of lag 0 weighted by atomic number
AATS1Z,averaged moreau-broto autocorrelation of lag 1 weighted by atomic number
AATS2Z,averaged moreau-broto autocorrelation of lag 2 weighted by atomic number
AATS3Z,averaged moreau-broto autocorrelation of lag 3 weighted by atomic number
AATS4Z,averaged moreau-broto autocorrelation of lag 4 weighted by atomic number
AATS5Z,averaged moreau-broto autocorrelation of lag 5 weighted by atomic number
AATS6Z,averaged moreau-broto autocorrelation of lag 6 weighted by atomic number
AATS7Z,averaged moreau-broto autocorrelation of lag 7 weighted by atomic number
AATS8Z,averaged moreau-broto autocorrelation of lag 8 weighted by atomic number
AATS0m,averaged moreau-broto autocorrelation of lag 0 weighted by mass
AATS1m,averaged moreau-broto autocorrelation of lag 1 weighted by mass
AATS2m,averaged moreau-broto autocorrelation of lag 2 weighted by mass
AATS3m,averaged moreau-broto autocorrelation of lag 3 weighted by mass
AATS4m,averaged moreau-broto autocorrelation of lag 4 weighted by mass
AATS5m,averaged moreau-broto autocorrelation of lag 5 weighted by mass
AATS6m,averaged moreau-broto autocorrelation of lag 6 weighted by mass
AATS7m,averaged moreau-broto autocorrelation of lag 7 weighted by mass
AATS8m,averaged moreau-broto autocorrelation of lag 8 weighted by mass
AATS0v,averaged moreau-broto autocorrelation of lag 0 weighted by vdw volume
AATS1v,averaged moreau-broto autocorrelation of lag 1 weighted by vdw volume
AATS2v,averaged moreau-broto autocorrelation of lag 2 weighted by vdw volume
AATS3v,averaged moreau-broto autocorrelation of lag 3 weighted by vdw volume
AATS4v,averaged moreau-broto autocorrelation of lag 4 weighted by vdw volume
AATS5v,averaged moreau-broto autocorrelation of lag 5 weighted by vdw volume
AATS6v,averaged moreau-broto autocorrelation of lag 6 weighted by vdw volume
AATS7v,averaged moreau-broto autocorrelation of lag 7 weighted by vdw volume
AATS8v,averaged moreau-broto autocorrelation of lag 8 weighted by vdw volume
AATS0se,averaged moreau-broto autocorrelation of lag 0 weighted by sanderson EN
AATS1se,averaged moreau-broto autocorrelation of lag 1 weighted by sanderson EN
AATS2se,averaged moreau-broto autocorrelation of lag 2 weighted by sanderson EN
AATS3se,averaged moreau-broto autocorrelation of lag 3 weighted by sanderson EN
AATS4se,averaged moreau-broto autocorrelation of lag 4 weighted by sanderson EN
AATS5se,averaged moreau-broto autocorrelation of lag 5 weighted by sanderson EN
AATS6se,averaged moreau-broto autocorrelation of lag 6 weighted by sanderson EN
AATS7se,averaged moreau-broto autocorrelation of lag 7 weighted by sanderson EN
AATS8se,averaged moreau-broto autocorrelation of lag 8 weighted by sanderson EN
AATS0pe,averaged moreau-broto autocorrelation of lag 0 weighted by pauling EN
AATS1pe,averaged moreau-broto autocorrelation of lag 1 weighted by pauling EN
AATS2pe,averaged moreau-broto autocorrelation of lag 2 weighted by pauling EN
AATS3pe,averaged moreau-broto autocorrelation of lag 3 weighted by pauling EN
AATS4pe,averaged moreau-broto autocorrelation of lag 4 weighted by pauling EN
AATS5pe,averaged moreau-broto autocorrelation of lag 5 weighted by pauling EN
AATS6pe,averaged moreau-broto autocorrelation of lag 6 weighted by pauling EN
AATS7pe,averaged moreau-broto autocorrelation of lag 7 weighted by pauling EN
AATS8pe,averaged moreau-broto autocorrelation of lag 8 weighted by pauling EN
AATS0are,averaged moreau-broto autocorrelation of lag 0 weighted by allred-rocow EN
