Variable,Description,type
MeanJ_NC,"Mean June Temperature, North Central,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
MeanJ_NE,"Mean June Temperature, Northeastern,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
MeantempSp_S,"Mean Temperature, South, spring,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminAug_NC,"Percentage of days that below the 10th percentile for minimum temperatures, North Central, August,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminAug_NE,"Percentage of days that below the 10th percentile for minimum temperatures, Northeastern, August,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminJl_NC,"Percentage of days that below the 10th percentile for minimum temperatures, North Central, July,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminJl_NE,"Percentage of days that below the 10th percentile for minimum temperatures, Northeastern, July,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminJu_NC,"Percentage of days that below the 10th percentile for minimum temperatures, North Central, June,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
TminJu_NE,"Percentage of days that below the 10th percentile for minimum temperatures, Northeastern, June,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
NighttempF_S,"Nighttime Temperature, South, fall,  as provided by PRISM and summarized by region by A. Allstadt",Temperature
DroughtSp_S,"Standardized precipitation index (March 1st - May 31st), South, spring,  as provided by PRISM and summarized by region by A. Allstadt",Precipitation
Drought_NC,"Standardized precipitation index (June 1st - August 30th), North Central,  as provided by PRISM and summarized by region by A. Allstadt",Precipitation
Drought_NE,"Standardized precipitation index (June 1st - August 30th), Northeastern,  as provided by PRISM and summarized by region by A. Allstadt",Precipitation
Prec_S,"Precipitation (mm), South,  as provided by PRISM and summarized by region by A. Allstadt",Precipitation
Ramirez.cumul,"Cumulative Overwinter Forest Loss (ha), Ramirez et al. study",Habitat
Vidal.cumul,"Cumulative Overwinter Forest Loss (ha), Vidal et al. study",Habitat
Ramirez.annu,"Sum Overwinter Forest Loss (ha), Ramirez et al. study",Habitat
Vidal.annu,"Sum Overwinter Forest Loss (ha), Vidal et al. study",Habitat
OWmean_temp,"Overwinter Mean Temperature (degrees F), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_humid,"Overwinter Mean Relative Humidity (%), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Precipitation
OWtotal_precip,"Overwinter Total Precipitation (in), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Precipitation
OWmean_wind,"Overwinter Mean Wind (mph), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_gust,"Overwinter Mean Gust (mph), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_max_temp,"Overwinter Mean Maximum Temperature (degrees F), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_min_temp,"Overwinter Mean Minimum Temperature (degrees F), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_max_humid,"Overwinter Mean Maximum Relative Humidity (%), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Precipitation
OWmean_min_humid,"Overwinter Mean Minimum Relative Humidity (%), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Precipitation
OWmean_max_wind,"Overwinter Mean Maximum Wind (mph), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_min_wind,"Overwinter Mean Minimum Wind (mph), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
OWmean_max_gust,"Overwinter Mean Maximum Gust (mph), as provided by Meteoblue for the Adolfo López Mateos International Airport, Mexico",Temperature
milkweed resource,"Milkweed Resource (units of equivalent stems), Pleasants (2016)",other
log milkweed resource,"Log(Milkweed Resource), Pleasants (2016)",other
