year,area_pva,apva_1yr,popgrowth_pva,Prop_Inf,closum_N,closum_S,dinsum_N,dinsum_S,imisum_N,imisum_S,thisum_N,thisum_S,totalneon_N,totalneon_S,glysum_N,glysum_S,glycum_N,glycum_S,DC_N,twoD_N,DC_S,twoD_S,CRPsum_N,CRPsum_S,T70p1sum_NC,T70p1sum_NE,T70p2sum_NC,T70p2sum_NE,T70p3sum_NC,T70p3sum_NE,T70p4sum_NC,T70p4sum_NE,GDD_Ssp,GDD_NC,GDD_NE,GDD_Sf,LDD_Ssp,LDD_NC,LDD_NE,LDD_Sf,Tempp1avg_NC,Tempp1avg_NE,Tempp2avg_NC,Tempp2avg_NE,Tempp3avg_NC,Tempp3avg_NE,Tempp4avg_NC,Tempp4avg_NE,MeanJ_NC,MeanJ_NE,MeantempSp_S,TminAug_NC,TminAug_NE,TminJl_NC,TminJl_NE,TminJu_NC,TminJu_NE,NighttempF_S,DroughtSp_S,Drought_NC,Drought_NE,Prec_S,Ramirez.cumul,Vidal.cumul,Ramirez.annu,Vidal.annu,OWmean_temp,OWmean_humid,OWtotal_precip,OWmean_wind,OWmean_gust,OWmean_max_temp,OWmean_min_temp,OWmean_max_humid,OWmean_min_humid,OWmean_max_wind,OWmean_min_wind,OWmean_max_gust,milkweed resource,log milkweed resource
2003,1.717,1.66,-0.642,0.03,0.0,0.0,0.0,0.0,8.75,27.35,2.79,4.41,11.54,31.76,22473.78,11123.25,114985,62226,2101264.2,7591412.2,655796.5,7798615.0,20202656.7,10459040.8,6772467.0,1252845.0,7322880.0,1102217.0,11194618.0,326859.0,2459577.0,440729.0,683.535,1017.507,776.422,555.056,0.667,3.685,0.0,0.0,11.287,11.193,12.801,11.535,15.535,12.869,14.518,14.298,17.1,16.6,14.3,1.5,3.6,4.8,3.6,10.1,7.9,10.189,-0.2,-0.3,-0.5,177.6,2269.02,521.0,125.0,232.0,11.7,42.41,12.6,5.38,7.76,19.98,4.59,64.41,21.18,8.58,2.68,15.1,422129637,8.625445844
2004,1.076,1.717,0.371,0.033,100.68,26.89,0.0,0.0,44.96,62.66,20.73,29.41,166.37,118.96,23732.86,12726.56,138718,74952,1752882.1,5701769.6,688454.0,7860244.0,20418410.0,10705572.2,13223769.0,1764665.0,8858454.0,2917533.0,8245140.0,1392093.0,10775350.0,895888.0,724.577,832.543,751.99,600.787,0.314,0.13,0.0,0.0,13.088,12.463,13.128,17.24,15.077,14.887,17.842,14.905,16.1,15.3,14.7,24.9,5.9,13.2,2.9,21.0,16.2,10.805,0.0,0.1,0.1,180.5,2394.02,753.0,125.0,232.0,11.68,66.75,10.1,5.97,9.57,17.56,6.38,90.82,42.47,10.33,2.51,18.15,373376391,8.572146854
2005,1.447,1.076,0.115,0.08,168.46,32.34,0.0,0.0,32.94,42.42,38.09,40.37,239.49,115.13,25603.39,14330.26,164321,89283,1668514.5,5556518.6,597694.1,6367377.0,20542624.8,10747104.3,9394134.0,381758.0,7865481.0,876621.0,8223148.0,282868.0,10579992.0,2228738.0,636.468,1050.071,858.335,648.856,0.059,2.093,0.0,1.529,10.362,8.52,12.501,11.374,14.73,11.587,17.796,18.422,19.1,18.4,13.0,6.6,4.5,8.1,5.5,2.0,5.9,10.209,-0.1,0.0,0.0,181.3,2519.02,1118.5,125.0,365.5,11.98,48.65,15.2,5.51,8.05,19.52,3.89,74.76,26.59,8.78,2.45,15.5,339637032,8.531015037
2006,1.561,1.447,-0.13,0.07,151.73,27.52,0.0,0.26,28.96,57.09,66.99,79.5,247.68,164.37,26628.33,14773.52,190950,104056,1374842.8,6113627.3,666207.7,6871859.0,21167909.9,11085051.5,8835877.0,2044386.0,8133204.0,629174.0,16804499.0,1624914.0,18943703.0,1346369.0,739.675,1064.035,817.681,500.8,1.451,3.982,0.0,0.0,11.52,12.131,12.86,12.34,18.57,14.638,20.007,16.985,18.7,17.7,15.5,4.7,13.1,3.1,0.5,4.7,1.6,8.911,-0.4,-0.3,-0.4,148.7,2698.69,1484.0,179.67,365.5,12.25,54.86,2.9,6.41,10.05,19.74,4.71,80.12,31.59,11.93,2.6,19.38,317692386,8.502006807
2007,1.432,1.561,-0.194,0.08,216.83,46.57,0.0,0.75,37.59,51.31,87.89,60.29,342.31,158.92,31491.98,14602.89,222442,118659,1187461.6,5826217.4,844283.8,7136180.0,21608791.4,11276877.9,15674839.0,1624825.0,14543245.0,1525252.0,10565781.0,2355821.0,9639282.0,2025017.0,693.131,1063.843,803.405,643.598,0.0,1.889,0.0,0.0,14.795,11.59,15.583,12.403,15.874,16.371,17.18,17.68,18.6,17.1,14.4,5.1,8.6,7.6,11.2,5.6,7.4,10.356,-0.3,-0.3,-0.2,166.5,2878.36,1602.5,179.67,118.5,14.35,54.56,5.7,5.63,8.73,21.81,6.59,81.53,30.18,9.57,2.2,15.78,301983383,8.479983046
2008,1.238,1.432,-0.324,0.13,281.83,43.39,0.04,0.8,56.67,61.32,119.08,68.71,457.62,174.22,39349.65,16568.56,261791,135228,1268783.2,6266981.7,999862.3,7027444.0,20060185.66,10814426.3,7637380.0,1289191.0,7170193.0,1220706.0,5420203.0,963575.0,11282138.0,1991436.0,697.141,894.532,781.222,521.609,1.118,0.482,0.0,0.0,10.577,10.237,12.279,11.213,13.282,12.614,17.883,18.454,17.5,17.4,13.7,6.4,3.9,5.6,1.1,5.2,2.7,9.023,-0.2,0.1,0.2,223.5,3058.03,1721.0,179.67,118.5,13.36,50.04,1.1,4.98,7.3,21.68,4.79,80.18,25.88,7.8,2.41,13.0,274600734,8.438701694
2009,0.914,1.238,0.396,0.11,292.65,65.56,0.09,2.43,81.91,65.38,180.99,78.58,555.64,211.95,40026.07,16765.68,301818,151993,1227767.3,6308855.3,1116082.0,7691438.0,19382603.86,10661429.77,7539441.0,1516095.0,8589080.0,1187786.0,11968868.0,1587233.0,4880842.0,857160.0,668.387,846.098,727.881,516.597,0.49,0.0,0.0,0.0,11.388,12.565,12.869,11.405,16.027,15.001,14.39,14.708,17.0,16.0,14.0,14.0,3.4,17.7,11.8,10.7,4.3,9.807,0.3,0.4,0.4,231.2,3204.7,1723.5,146.67,2.5,11.65,62.6,31.6,5.76,9.33,18.08,5.36,88.06,38.65,9.43,2.8,18.17,255705908,8.407740762
2010,1.31,0.914,-0.159,0.09,314.414,80.795,0.062,2.187,81.341,67.347,157.465,65.318,554.36,215.647,40101.23,16723.12,341919,168716,1408470.4,5704879.6,1402046.0,8013160.0,18083880.63,9733546.08,6328192.0,2302457.0,6089080.0,1170938.0,15941380.0,2945803.0,10729375.0,2063039.0,739.28,1013.545,907.327,589.226,0.157,0.537,0.114,0.078,9.459,13.99,12.042,11.231,18.191,18.756,18.068,17.852,18.0,17.2,13.7,4.7,5.3,3.3,4.2,2.9,3.3,9.535,-0.1,0.4,0.4,149.0,3351.37,1726.0,146.67,2.5,12.0,50.8,2.3,5.3,7.53,20.08,4.56,75.59,26.76,9.09,2.61,16.41,242808503,8.385263891
2011,1.151,1.31,-0.481,0.07,274.566,62.057,0.05,1.61,67.002,63.108,135.501,67.46,477.75,194.236,38188.455,16646.64,380107,185363,1888649.0,7266825.8,1624277.0,7971766.0,17923502.73,9777273.22,7228576.0,1065170.0,5220919.0,1089557.0,6221153.0,2314592.0,16357644.0,2471124.0,775.339,1030.616,837.517,530.357,2.628,1.944,0.257,1.49,10.877,10.885,12.035,13.274,14.654,17.923,19.438,18.682,17.7,16.7,15.3,1.2,1.1,1.2,2.9,3.5,2.1,9.325,-0.7,0.0,0.0,210.3,3498.04,1726.0,146.67,0.0,14.14,64.34,46.6,4.92,6.07,20.26,8.12,87.76,38.88,7.7,2.4,11.37,240304849,8.380762534
2012,0.67,1.151,-0.271,0.11,242.072,55.961,0.044,1.438,61.129,58.31,118.695,58.369,422.577,174.078,34816.098,15322.282,414923,200685,1926310.1,7904543.2,1630714.0,9803787.0,16787716.2,9341666.41,12842748.0,1061420.0,16757707.0,2255683.0,12771564.0,2693114.0,13819215.0,484356.0,794.758,1124.266,908.17,522.19,1.118,6.685,0.029,1.059,14.51,12.072,15.799,14.346,16.458,19.204,17.89,14.639,19.4,16.8,17.1,11.8,0.7,2.1,4.6,5.5,1.7,9.483,-0.3,-0.6,-0.5,181.4,3644.71,1726.0,146.67,0.0,14.37,57.33,0.5,6.26,7.47,21.9,7.02,82.76,32.71,10.66,2.75,14.91,235132152,8.371312019
2013,0.399,0.67,0.311,0.069,216.254,55.057,0.04,1.429,58.97,53.944,105.809,46.499,381.873,156.93,31369.761,13734.947,446293,214420,2157436.875,7382797.895,1315392.889,8147127.97,14642725.48,8911156.55,10056979.0,2519299.0,13933896.0,1264260.0,7327170.0,1230170.0,4065495.0,1647719.0,634.908,994.422,830.091,569.835,0.824,0.796,0.0,0.078,10.709,13.5,15.522,11.985,15.248,14.201,15.251,17.888,17.9,16.6,12.3,8.332,4.041,5.847,6.662,7.208,6.28,9.837,-0.4,0.1,0.0,178.5,3794.66,1734.98,149.95,8.98,12.71,68.83,58.7,6.05,7.21,18.9,6.52,92.53,43.53,9.34,3.2,13.79,221534841,8.345442038
2014,0.71,0.399,-0.052,0.062,165.236,39.084,0.028,0.949,45.796,47.58,78.577,39.811,290.191,127.424,27452.814,12602.413,473746,227023,2442949.097,7642438.548,1107574.805,7767797.997,13602424.36,8632936.17,10157006.96,1795783.199,10609571.12,1477511.332,10443805.34,1856032.982,10057447.87,1573476.993,678.817,918.022,800.527,544.417,0.392,0.167,0.0,0.0,12.372,13.081,14.495,13.258,16.411,16.501,18.007,17.528,17.8,17.2,14.88,8.494,5.721,7.416,7.192,7.845,6.778,9.962,-0.2,0.5,0.5,199.999,3946.5299999999997,1880.0900000000001,151.87,145.11,13.52,71.57,45.2,5.99,8.52,18.98,7.62,93.65,48.0,9.97,2.77,15.4,211376766,8.325057248
